id,routeDate,parcels,firstToLastStopActualDurationHours,firstToLastStopEstimatedTravelTimeHours,routeCentroidLatitude,routeCentroidLongitude
LAa43kNqs7gLCjYqNqTcPw==,07/08/2025,79,7.091666667,1.630833333,51.57538522,0.086704649
vNcHjB3B0UV3JSriBdsPKA==,12/08/2025,67,7.200555556,2.910555556,51.65896201,-0.053047098
Tl6RRxOkEUhQqlpSdpUAKQ==,23/07/2025,89,5.371944444,2.185277778,51.45905311,0.130841198
nhQQGn8MBnJXE8ALsQiuTg==,26/07/2025,82,11.22638889,1.709166667,51.58197396,0.026354563
+Euh6jSgxLYMI8EeriObvg==,05/08/2025,67,5.076666667,1.894444444,51.69336701,-0.371033169
wK5NiZXRzzVlaByLgpkc3w==,19/07/2025,33,3.003611111,1.266111111,51.55513768,-0.460113214
HtHkC/gGbxkVPyWVA4SXQQ==,05/08/2025,83,11.08166667,1.3625,51.48691717,-0.025439495
zTr9hB73Heppfio17rlaLA==,21/07/2025,84,7.085833333,0.915,51.53938738,-0.177775717
046OJS7RntGYHZFzo6FLOg==,24/07/2025,55,4.546388889,1.174722222,51.40726402,-0.18570657
pQm4MjE+vuCcp/yX5Q4v7g==,06/08/2025,67,5.721944444,2.139722222,51.66640129,0.024334585
XwJDYd4qpVfDLnFEcav/Ig==,28/07/2025,86,6.739722222,1.143611111,51.49748534,-0.093497094
4DDA76mmbrpy+AOkxLbPOw==,22/07/2025,101,7.921944444,2.028888889,51.61788471,-0.092985229
r2AeXaGDSEOqOFvTHS6LcQ==,19/07/2025,71,4.654166667,1.284444444,51.42115219,-0.082345326
AjcXLm3Nm6VZgrrn2QN9nQ==,21/07/2025,86,13.47777778,1.08,51.52286754,-0.095190368
btJn4+Fsk83o6Gcfcutl7A==,02/08/2025,55,6.500555556,1.535555556,51.69629019,-0.396433839
wvnICo6034sSy0Dl1dBQ3w==,20/07/2025,91,5.885,2.345833333,51.42163052,0.081180179
tzuQWo7MfckBJharNMBsNw==,19/07/2025,85,10.27944444,1.311111111,51.51807479,0.027206828
evceAdGduquoW4uzzR6juQ==,25/07/2025,86,5.416111111,1.028055556,51.58309512,-0.202103466
1AAssXMFXm4tlMm4kFHmow==,18/07/2025,77,10.24666667,1.299444444,51.42549586,-0.149210121
qEjlmbs7ehvwbjKstOyGZw==,04/08/2025,61,4.578333333,1.551111111,51.39973803,-0.154289984
WjjuaN12TNLnZGc3RpBf7w==,01/08/2025,96,13.03833333,1.646666667,51.55133283,0.002082481
dMKSDBC4ryZXt/lqIByGyg==,03/08/2025,74,9.103055556,2.487777778,51.67142964,-0.420307821
OhKa4PLwfNVG12hDiiw54g==,10/08/2025,65,5.143888889,1.985277778,51.34817971,-0.291664639
wkLvhDFuu8YwtU0NSXIZfw==,24/07/2025,43,3.416388889,0.403333333,51.45821471,-0.168525517
F56LRidpEhaj7YTmNG94kQ==,19/07/2025,74,6.545833333,0.917777778,51.48687755,-0.256548842
+lPDnofIt/WcacruSacxPQ==,19/07/2025,66,7.324166667,1.516111111,51.39151246,-0.18377483
ipnw1bNMZxI4cjwsCG0cbg==,11/08/2025,43,3.720833333,1.044444444,51.58541392,-0.364310568
9+wrRHdUU57t7xXIlgXh9Q==,08/08/2025,51,5.615277778,1.3025,51.64389146,0.055035855
rC/iEi5WzfF3KduxE8Wt0Q==,27/07/2025,93,7.905555556,1.594722222,51.48295467,0.053446548
Mb+YeP2H/8tR8/7izrjmgQ==,13/08/2025,67,7.800277778,1.758055556,51.59856565,0.080146894
HCvnOzmXeRdhKQF1GbAfDg==,11/08/2025,82,6.513055556,2.691944444,51.59040066,0.194929471
oMUQSE1pZtUJERO4EnlP4g==,24/07/2025,65,10.37666667,1.210277778,51.5030467,-0.227497782
3TnZlBv2aqTqyjnLcoK40A==,09/08/2025,80,7.7475,1.653611111,51.59412537,-0.337260878
YBMwrR+QyF+IcvqpDXyojA==,02/08/2025,87,9.346666667,1.552777778,51.57993648,0.003031758
WibTfzRem+H4D1egkTnTiA==,12/08/2025,58,5.145833333,1.110833333,51.66994214,-0.292570587
og+riWQ+Dzam+wKmoF8TFg==,02/08/2025,57,5.294722222,1.705,51.33106671,-0.214879507
Fk3jtpVz68TGZ2fWpgQtRQ==,02/08/2025,73,5.164444444,1.246666667,51.41919036,-0.136652948
3zBlBBDZS7kTvsvRFXvbXw==,12/08/2025,40,3.665833333,1.471944444,51.28234197,-0.078659748
h+kYMdApugcRh1iHhKMeig==,02/08/2025,70,9.344444444,2.140555556,51.58258546,0.173233968
IpxW7V3j1l46fDKrSsQaAA==,04/08/2025,81,9.295277778,1.040277778,51.54040881,-0.070333547
Q3NvM/Ixca6j8vl8ja36eg==,19/07/2025,61,5.594444444,0.910555556,51.56039446,-0.223788934
SRPzPgMvM8dYr1KTY+nXMA==,24/07/2025,64,5.685277778,1.097222222,51.58316228,-0.10652484
SCbiBWeRyaLPP2Wrud3HfQ==,21/07/2025,104,9.98,1.7325,51.60957756,-0.278210185
e8PV4OTERYEwl+DQoDB1dA==,07/08/2025,73,6.2725,0.973055556,51.46649321,-0.283596759
2nCB7xgQ/xIkcjnNKZ7AFg==,24/07/2025,60,4.265277778,1.382777778,51.3781112,-0.242760662
ucgBkbaZe5EQYOrKtIzWiw==,01/08/2025,82,9.362777778,0.989166667,51.50658628,-0.115731167
JtN6qCtWP0GxceksLtCtxg==,07/08/2025,40,4.69,0.983611111,51.37804219,-0.210708999
G3UiuWYcXGdh2IggWzc4TQ==,26/07/2025,76,7.4625,1.985277778,51.44754861,-0.392348685
QwnYuO+36Sz5mS+8u7pxwg==,24/07/2025,49,3.753055556,1.599444444,51.32299388,-0.287574976
EAAVdr/hR4GKloEpDdPUrg==,01/08/2025,83,7.031388889,0.776111111,51.43819193,-0.151815891
f5X8a5DlfA5+sbZr1Ehtaw==,09/08/2025,80,5.728055556,2.233055556,51.47781446,0.139503731
adGNH0N3Ebvt3vMPeQC0Cw==,25/07/2025,50,4.216111111,2.017777778,51.32000988,-0.23274522
ag+CvIm8NUAWjXpCB7XkfA==,03/08/2025,80,5.464166667,1.157222222,51.48388886,-0.053946979
2sWkRd4dwfwlDxIiaS8mXA==,27/07/2025,67,5.706388889,1.299166667,51.48152056,-0.264693267
2KaIVgZ0pZ3A0wnulvsPRA==,24/07/2025,47,4.206944444,1.321944444,51.32087566,-0.177105604
jC6HTDkTnnd3Wn/KFarwyg==,13/08/2025,86,5.962777778,2.062222222,51.41687281,0.067570592
FrmFyrK7vAApoX+e0bOfrg==,23/07/2025,76,5.407222222,0.9425,51.58739026,-0.161241565
G6LVGmfEOx2yNgZt73iANg==,09/08/2025,86,7.3125,1.940833333,51.62085979,-0.106500381
h8BL6OxAVqOPJkX7I3jU1A==,08/08/2025,84,6.181666667,1.2275,51.47823145,-0.087705505
1zZh24jOq38szvZUYHVUOQ==,13/08/2025,77,5.325833333,1.818055556,51.64058558,0.048545129
Ek8/wKQrfUBb1dbsFnmK5A==,04/08/2025,75,9.316111111,2.132222222,51.42602467,-0.44189152
xmjYsFhtOVA4iExOrnHNWQ==,21/07/2025,82,11.85916667,1.684722222,51.50396241,-0.242703847
Rxw492fe6rjb6UjaSkMvjw==,26/07/2025,73,6.308888889,1.279722222,51.55214912,-0.032761818
hWCmzGXL4xPkSjos20cp2w==,30/07/2025,60,4.600277778,1.448333333,51.36753262,-0.470333111
rUVv0T0OxICqXXpiD8PTpQ==,31/07/2025,33,4.780833333,0.405555556,51.51064458,-0.063877722
SXJ6d56G1D4UfBoc4+tFCg==,03/08/2025,53,4.024722222,1.005,51.57188407,-0.33911054
lUzjlXd4Nwqa8fI6Y6cujA==,21/07/2025,75,6.524444444,2.420555556,51.54311825,0.184827662
3T24dEAIVfu0noG8fdzddQ==,23/07/2025,81,9.53,1.853055556,51.46567074,0.077208875
Xqf+/htLTTZcc/q+9KX+Qw==,04/08/2025,82,7.273055556,1.546944444,51.56955455,-0.068793213
sspCuho23T2cLAF8/Z1SqQ==,01/08/2025,83,7.755,1.306388889,51.51656001,-0.107873817
8zzZQVdwcv06H94SHTCIag==,30/07/2025,60,5.746111111,1.034444444,51.67055793,-0.296274132
2jGrQvTt8v8UVmE8cyYv6g==,10/08/2025,69,7.508333333,1.085555556,51.54011876,-0.105529295
Y8vi3ApQUNuJ1Vy3oNQ9Vw==,21/07/2025,104,6.406388889,2.245277778,51.62995615,0.03043046
Upm1y8J0u9Ztc9JFmJunnw==,22/07/2025,81,8.328055556,1.215,51.52030447,-0.189143124
rJOTzFZa7rrKT0aQAHzA3A==,09/08/2025,70,9.229166667,0.9175,51.51884691,-0.0705395
BxDrK6WU4UXqLWjQiLykDA==,13/08/2025,36,2.990277778,0.684722222,51.56036998,-0.070265134
c9aEhVe1k75Zs6FGoXUzzg==,26/07/2025,73,6.051944444,1.439444444,51.44665217,-0.005818081
tttlho/GQ5RE62Krez/0vw==,18/07/2025,33,2.928333333,2.628055556,51.65820061,-0.087011897
v/G2IOMC/5kjgqvgxHi54A==,07/08/2025,80,8.534722222,1.1825,51.42145963,-0.091643112
TZ6S8/s4srY5ilxtC+Jasw==,24/07/2025,74,5.891388889,2.050555556,51.38458338,0.086994728
7RYS4vjGim/xZg9lfykLKg==,30/07/2025,69,9.619444444,1.075277778,51.53951663,-0.131958862
dx18lEhvh529576EE8V+cg==,06/08/2025,77,7.404444444,0.845555556,51.50469966,-0.140555766
RIr0RDvxb/HyRq6wBFe3EQ==,11/08/2025,61,7.625277778,2.245,51.54265672,0.185112814
eYUFR4Oi+iBzjNOI9GLXqQ==,22/07/2025,94,8.381111111,2.069166667,51.35112295,-0.379446263
TIloZz9pwscM5DByR92sEg==,22/07/2025,106,11.18861111,1.083888889,51.45876882,-0.197010146
mRSAT0f3XbH10Xn5K03obg==,28/07/2025,76,12.15833333,1.050277778,51.51526395,-0.043711292
B99TXvlW3Mr9dpOQC3NNRw==,19/07/2025,57,6.007777778,0.826666667,51.47037153,-0.11762624
3KXHHrjllbL9Jmr3iLM0AA==,02/08/2025,65,4.792222222,1.722777778,51.32490918,-0.12203139
EWIWVPf6NM+Wd0PDsGXVvQ==,26/07/2025,61,7.089722222,1.221666667,51.53476451,-0.126324758
P2RbOKfByOFhCPddc4p/Ag==,21/07/2025,88,7.285,1.175,51.53158542,-0.217901994
4qjwvEhuUBC+lmp6ieRecQ==,09/08/2025,73,8.002777778,1.974166667,51.65829771,-0.035824285
16E1rOwlhhxfJNskwsFEuA==,02/08/2025,56,3.750555556,1.038055556,51.41025954,-0.284800261
kDjiBXjuvTEXJGudoxF09g==,05/08/2025,85,7.035277778,1.366666667,51.43919096,-0.042976587
IzShwiYdrm6fVtKSp4807A==,08/08/2025,58,5.401944444,1.485,51.67095749,-0.294170571
Yq5oobSyU8BYNWbqp+ok1A==,11/08/2025,45,7.175277778,1.513055556,51.29942679,-0.110217615
tzN21jCzlq7cpM+ouV5wcQ==,04/08/2025,84,6.379166667,2.2075,51.58615973,0.196934803
FYkh5nwOglrkFhM9oaq4+g==,06/08/2025,76,5.728888889,1.492777778,51.60892389,-0.300319981
klp0R8AjjhEDGmOmYyIrhA==,10/08/2025,84,6.933055556,2.332222222,51.57808969,0.211054162
EScL8uWl5G8LcUGm0yWYPA==,09/08/2025,76,10.04194444,1.104722222,51.53205195,-0.118422014
e6CdeiYN+REM2FXHq1F7PQ==,13/08/2025,42,4.148611111,1.579722222,51.30742209,-0.2202318
1awGJRSVA2SQIDiVG1WARQ==,01/08/2025,69,6.188888889,1.801944444,51.49802874,-0.428284907
Lvsf9Cc9bYSwk4/ACJYiSw==,06/08/2025,76,6.175555556,1.912777778,51.39258692,-0.076507165
XVBqGPqK8bqDywURiAgE/A==,21/07/2025,39,3.435555556,0.411944444,51.50256563,-0.202115826
Qhabx4FeytjLj5YxnpB9kA==,03/08/2025,47,4.304444444,1.713888889,51.29616401,-0.104285444
anFewOo84y+/ExPXy3mjag==,10/08/2025,72,6.078611111,2.100833333,51.62908092,-0.407157242
yloTrE7pnbuWdxywV5Hbjg==,13/08/2025,53,8.805833333,0.61,51.54194537,-0.078059435
7NUP4vGngae+gpwADKWufg==,06/08/2025,66,9.873055556,0.955555556,51.51711163,-0.058726251
JMCNY9QR6Yo7efWGRdOplQ==,13/08/2025,71,7.2975,1.285277778,51.6273377,-0.141267673
Tc5LaM4HbImH0HlowZz1gg==,26/07/2025,74,7.745833333,1.830555556,51.64105383,0.055252831
OTO7LddXx5ynJQFeWi/S+A==,22/07/2025,64,6.007777778,1.518055556,51.42477151,-0.183828486
HBAAACVVnJN9djh9vppgMQ==,13/08/2025,58,4.303333333,0.921111111,51.63540691,-0.111848928
VisCY6I2g8k8OAD06DKQVw==,04/08/2025,50,5.892222222,0.836388889,51.43503099,-0.163600968
Y4v9cYKpzFUnHudmqlG1wA==,13/08/2025,87,5.545,1.722777778,51.41355269,0.017358455
APnKm2V92aevhrU6Ls5KDw==,29/07/2025,81,5.729722222,0.938611111,51.58499996,-0.202498921
l4B6WvUJV/M4sYsFAn6UWQ==,13/08/2025,61,5.945,0.9,51.4453209,-0.211423996
ePoUUjVdaJD6ECY6DsWbUw==,08/08/2025,98,10.59944444,1.611666667,51.4127993,-0.308444406
VHQZWlQaf9Mo6tGiD9nPtg==,05/08/2025,77,5.681666667,1.184722222,51.53455523,-0.230006681
YKoxe5sk+GF/40G6byS58Q==,29/07/2025,81,5.858333333,0.8,51.46904872,-0.194509888
hR2mn8dnhkLfStAm8Rlj/A==,20/07/2025,75,5.865,2.373055556,51.62946529,-0.104768687
buczq9fgk1Uq/IjlXSwUjQ==,02/08/2025,72,8.415555556,1.255277778,51.58914908,-0.043504434
